STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/4/1952,0,0,0,,85,68
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/5/1952,0.04,0,0,,85,70
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/6/1952,0.15,0,0,,75,66
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/7/1952,0,0,0,,81,62
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/8/1952,0,0,0,,77,62
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/9/1952,0,0,0,,78,59
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/10/1952,0.4,0,0,,83,65
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/11/1952,0,0,0,,83,62
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/12/1952,0.1,0,0,,75,69
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/13/1952,0,0,0,,78,60
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/14/1952,0,0,0,,80,53
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/15/1952,0,0,0,,82,60
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/16/1952,1.23,0,0,,82,68
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/17/1952,0,0,0,,79,64
